Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.04     0.00      276     0.00     0.00  std::_Rb_tree_node<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >::_M_valptr() const
  0.00      0.04     0.00      276     0.00     0.00  std::less<std::string>::operator()(std::string const&, std::string const&) const
  0.00      0.04     0.00      276     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.04     0.00      202     0.00     0.00  std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > >::get() const
  0.00      0.04     0.00      202     0.00     0.00  std::_Head_base<0ul, std::basic_ofstream<char, std::char_traits<char> >*, false>::_M_head(std::_Head_base<0ul, std::basic_ofstream<char, std::char_traits<char> >*, false> const&)
  0.00      0.04     0.00      202     0.00     0.00  std::_Tuple_impl<0ul, std::basic_ofstream<char, std::char_traits<char> >*, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > >::_M_head(std::_Tuple_impl<0ul, std::basic_ofstream<char, std::char_traits<char> >*, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > const&)
  0.00      0.04     0.00      202     0.00     0.00  std::__add_c_ref<std::basic_ofstream<char, std::char_traits<char> >*>::type std::__get_helper<0ul, std::basic_ofstream<char, std::char_traits<char> >*, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > >(std::_Tuple_impl<0ul, std::basic_ofstream<char, std::char_traits<char> >*, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > const&)
  0.00      0.04     0.00      202     0.00     0.00  std::__add_c_ref<std::tuple_element<0ul, std::tuple<std::basic_ofstream<char, std::char_traits<char> >*, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > >::type>::type std::get<0ul, std::basic_ofstream<char, std::char_traits<char> >*, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > >(std::tuple<std::basic_ofstream<char, std::char_traits<char> >*, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > const&)
  0.00      0.04     0.00      198     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >::_M_ptr()
  0.00      0.04     0.00      198     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >::_M_addr()
  0.00      0.04     0.00      198     0.00     0.00  std::_Rb_tree_node<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >::_M_valptr()
  0.00      0.04     0.00      196     0.00     0.00  std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > >::operator->() const
  0.00      0.04     0.00      195     0.00     0.00  std::__array_traits<bool (rf::LuaGlueBitstream::*)(int, int), 1ul>::_S_ref(bool (rf::LuaGlueBitstream::* const (&) [1])(int, int), unsigned long)
  0.00      0.04     0.00      195     0.00     0.00  std::array<bool (rf::LuaGlueBitstream::*)(int, int), 1ul>::operator[](unsigned long)
  0.00      0.04     0.00      195     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > >, std::_Select1st<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >, std::less<std::string>, std::allocator<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > > >::end()
  0.00      0.04     0.00      194     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >::operator->() const
  0.00      0.04     0.00      193     0.00     0.00  rf::LuaGlueBitstream::seekpos(int, int)
  0.00      0.04     0.00      193     0.00     0.00  rf::LuaBinder::invoker<bool (rf::LuaGlueBitstream::*)(int, int), rf::LuaBinder::intetgral_sequence<unsigned long, 2ul, 3ul>, void>::apply(lua_State*)
  0.00      0.04     0.00      192     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >::operator==(std::_Rb_tree_iterator<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > > const&) const
  0.00      0.04     0.00      191     0.00     0.00  std::__array_traits<int (rf::LuaGlueBitstream::*)(char const*, int, bool), 1ul>::_S_ref(int (rf::LuaGlueBitstream::* const (&) [1])(char const*, int, bool), unsigned long)
  0.00      0.04     0.00      191     0.00     0.00  std::array<int (rf::LuaGlueBitstream::*)(char const*, int, bool), 1ul>::operator[](unsigned long)
  0.00      0.04     0.00      190     0.00     0.00  rf::LuaGlueBitstream::find_byte_string(char const*, int, bool)
  0.00      0.04     0.00      190     0.00     0.00  rf::Bitstream::find_byte_string(char const*, int, int&, bool)
  0.00      0.04     0.00      190     0.00     0.00  rf::LuaBinder::invoker<int (rf::LuaGlueBitstream::*)(char const*, int, bool), rf::LuaBinder::intetgral_sequence<unsigned long, 2ul, 3ul, 4ul>, void>::apply(lua_State*)
  0.00      0.04     0.00      181     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > >, std::_Select1st<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >, std::less<std::string>, std::allocator<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > > >::_S_key(std::_Rb_tree_node<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > > const*)
  0.00      0.04     0.00      181     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > >, std::_Select1st<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >, std::less<std::string>, std::allocator<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > > >::_S_value(std::_Rb_tree_node<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > > const*)
  0.00      0.04     0.00      111     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > >, std::_Select1st<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >, std::less<std::string>, std::allocator<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > > >::_S_left(std::_Rb_tree_node_base*)
