Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.04     0.00       46     0.00     0.00  std::_Maybe_unary_or_binary_function<bool, char>::_Maybe_unary_or_binary_function()
  0.00      0.04     0.00       46     0.00     0.00  std::function<bool (char)>::~function()
  0.00      0.04     0.00       45     0.00     0.00  std::__detail::_State<std::regex_traits<char> >&& std::forward<std::__detail::_State<std::regex_traits<char> > >(std::remove_reference<std::__detail::_State<std::regex_traits<char> > >::type&)
  0.00      0.04     0.00       42     0.00     0.00  std::__detail::_State<std::regex_traits<char> >::~_State()
  0.00      0.04     0.00       41     0.00     0.00  std::_Function_base::_M_empty() const
  0.00      0.04     0.00       40     0.00     0.00  std::__detail::_State<std::regex_traits<char> >* std::__addressof<std::__detail::_State<std::regex_traits<char> > >(std::__detail::_State<std::regex_traits<char> >&)
  0.00      0.04     0.00       35     0.00     0.00  std::vector<std::__detail::_State<std::regex_traits<char> >, std::allocator<std::__detail::_State<std::regex_traits<char> > > >::size() const
  0.00      0.04     0.00       30     0.00     0.00  bool __gnu_cxx::operator==<char const*, std::string>(__gnu_cxx::__normal_iterator<char const*, std::string> const&, __gnu_cxx::__normal_iterator<char const*, std::string> const&)
  0.00      0.04     0.00       30     0.00     0.00  std::vector<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> >, std::allocator<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> > > >::operator[](unsigned long)
  0.00      0.04     0.00       29     0.00     0.00  std::_Any_data::_M_access() const
  0.00      0.04     0.00       27     0.00     0.00  std::remove_reference<std::__detail::_State<std::regex_traits<char> >&>::type&& std::move<std::__detail::_State<std::regex_traits<char> >&>(std::__detail::_State<std::regex_traits<char> >&)
  0.00      0.04     0.00       26     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::string>::operator*() const
  0.00      0.04     0.00       26     0.00     0.00  std::function<bool (char)>::operator()(char) const
  0.00      0.04     0.00       25     0.00     0.00  void std::_Destroy<std::__detail::_State<std::regex_traits<char> > >(std::__detail::_State<std::regex_traits<char> >*)
  0.00      0.04     0.00       24     0.00     0.00  std::vector<std::__detail::_State<std::regex_traits<char> >, std::allocator<std::__detail::_State<std::regex_traits<char> > > >::operator[](unsigned long)
  0.00      0.04     0.00       22     0.00     0.00  __gnu_cxx::__normal_iterator<std::__detail::_State<std::regex_traits<char> >*, std::vector<std::__detail::_State<std::regex_traits<char> >, std::allocator<std::__detail::_State<std::regex_traits<char> > > > >::base() const
  0.00      0.04     0.00       21     0.00     0.00  __gnu_cxx::__normal_iterator<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> >*, std::vector<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> >, std::allocator<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> > > > >::base() const
  0.00      0.04     0.00       21     0.00     0.00  std::function<bool (char)>::swap(std::function<bool (char)>&)
  0.00      0.04     0.00       21     0.00     0.00  void std::swap<bool (*)(std::_Any_data const&, char)>(bool (*&)(std::_Any_data const&, char), bool (*&)(std::_Any_data const&, char))
  0.00      0.04     0.00       21     0.00     0.00  void std::swap<bool (*)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>(bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation), bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation))
  0.00      0.04     0.00       21     0.00     0.00  void std::swap<std::_Any_data>(std::_Any_data&, std::_Any_data&)
  0.00      0.04     0.00       19     0.00     0.00  std::__detail::_AnyMatcher<std::regex_traits<char>, true, false, false>* const& std::_Any_data::_M_access<std::__detail::_AnyMatcher<std::regex_traits<char>, true, false, false>*>() const
  0.00      0.04     0.00       19     0.00     0.00  std::function<bool (char)>::function(std::function<bool (char)>&&)
  0.00      0.04     0.00       18     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::string>::operator--()
  0.00      0.04     0.00       18     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::string>::operator++()
  0.00      0.04     0.00       17     0.00     0.00  std::__detail::_AnyMatcher<std::regex_traits<char>, true, false, false>::_M_apply(char, std::integral_constant<bool, true>) const
  0.00      0.04     0.00       17     0.00     0.00  std::__detail::_AnyMatcher<std::regex_traits<char>, true, false, false>::operator()(char) const
  0.00      0.04     0.00       17     0.00     0.00  std::_Function_base::_Base_manager<std::__detail::_AnyMatcher<std::regex_traits<char>, true, false, false> >::_M_get_pointer(std::_Any_data const&)
  0.00      0.04     0.00       17     0.00     0.00  std::_Function_handler<bool (char), std::__detail::_AnyMatcher<std::regex_traits<char>, true, false, false> >::_M_invoke(std::_Any_data const&, char)
  0.00      0.04     0.00       17     0.00     0.00  std::__detail::_State<std::regex_traits<char> >::_State(std::__detail::_State<std::regex_traits<char> >&&)
  0.00      0.04     0.00       16     0.00     0.00  std::_Tuple_impl<2ul>::_Tuple_impl()
  0.00      0.04     0.00       16     0.00     0.00  std::regex_constants::operator&(std::regex_constants::syntax_option_type, std::regex_constants::syntax_option_type)
  0.00      0.04     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_State<std::regex_traits<char> > >::max_size() const
  0.00      0.04     0.00       15     0.00     0.00  std::unique_ptr<rf::LuaBinder, std::default_delete<rf::LuaBinder> >::get() const
  0.00      0.04     0.00       15     0.00     0.00  std::unique_ptr<rf::LuaBinder, std::default_delete<rf::LuaBinder> >::operator->() const
  0.00      0.04     0.00       15     0.00     0.00  std::function<bool (char)>::operator bool() const
  0.00      0.04     0.00       15     0.00     0.00  std::_Head_base<0ul, rf::LuaBinder*, false>::_M_head(std::_Head_base<0ul, rf::LuaBinder*, false> const&)
  0.00      0.04     0.00       15     0.00     0.00  std::_Tuple_impl<0ul, rf::LuaBinder*, std::default_delete<rf::LuaBinder> >::_M_head(std::_Tuple_impl<0ul, rf::LuaBinder*, std::default_delete<rf::LuaBinder> > const&)
  0.00      0.04     0.00       15     0.00     0.00  std::_Deque_iterator<std::__detail::_StateSeq<std::regex_traits<char> >, std::__detail::_StateSeq<std::regex_traits<char> >&, std::__detail::_StateSeq<std::regex_traits<char> >*>::_Deque_iterator(std::_Deque_iterator<std::__detail::_StateSeq<std::regex_traits<char> >, std::__detail::_StateSeq<std::regex_traits<char> >&, std::__detail::_StateSeq<std::regex_traits<char> >*> const&)
  0.00      0.04     0.00       15     0.00     0.00  std::pair<__gnu_cxx::__normal_iterator<char const*, std::string>, __gnu_cxx::__normal_iterator<char const*, std::string> >::operator=(std::pair<__gnu_cxx::__normal_iterator<char const*, std::string>, __gnu_cxx::__normal_iterator<char const*, std::string> > const&)
  0.00      0.04     0.00       15     0.00     0.00  std::__detail::_State<std::regex_traits<char> >::_State(std::__detail::_State<std::regex_traits<char> > const&)
  0.00      0.04     0.00       15     0.00     0.00  std::function<bool (char)>::function(std::function<bool (char)> const&)
  0.00      0.04     0.00       15     0.00     0.00  std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> >::operator=(std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> > const&)
  0.00      0.04     0.00       15     0.00     0.00  void std::_Construct<std::__detail::_State<std::regex_traits<char> >, std::__detail::_State<std::regex_traits<char> >&>(std::__detail::_State<std::regex_traits<char> >*, std::__detail::_State<std::regex_traits<char> >&)
  0.00      0.04     0.00       15     0.00     0.00  std::__add_c_ref<rf::LuaBinder*>::type std::__get_helper<0ul, rf::LuaBinder*, std::default_delete<rf::LuaBinder> >(std::_Tuple_impl<0ul, rf::LuaBinder*, std::default_delete<rf::LuaBinder> > const&)
  0.00      0.04     0.00       15     0.00     0.00  std::__add_c_ref<std::tuple_element<0ul, std::tuple<rf::LuaBinder*, std::default_delete<rf::LuaBinder> > >::type>::type std::get<0ul, rf::LuaBinder*, std::default_delete<rf::LuaBinder> >(std::tuple<rf::LuaBinder*, std::default_delete<rf::LuaBinder> > const&)
  0.00      0.04     0.00       15     0.00     0.00  std::__detail::_State<std::regex_traits<char> >& std::forward<std::__detail::_State<std::regex_traits<char> >&>(std::remove_reference<std::__detail::_State<std::regex_traits<char> >&>::type&)
  0.00      0.04     0.00       13     0.00     0.00  bool __gnu_cxx::operator!=<char const*, std::string>(__gnu_cxx::__normal_iterator<char const*, std::string> const&, __gnu_cxx::__normal_iterator<char const*, std::string> const&)
  0.00      0.04     0.00       13     0.00     0.00  std::vector<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> >, std::allocator<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> > > >::size() const
  0.00      0.04     0.00       13     0.00     0.00  std::_Vector_base<std::__detail::_State<std::regex_traits<char> >, std::allocator<std::__detail::_State<std::regex_traits<char> > > >::_M_get_Tp_allocator()
  0.00      0.04     0.00       12     0.00     0.00  rf::LuaBinder::luaresult(int)
  0.00      0.04     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> > const*, std::vector<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> >, std::allocator<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> > > > >::base() const
  0.00      0.04     0.00       12     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.04     0.00       12     0.00     0.00  std::__detail::_NFA<std::regex_traits<char> >&& std::forward<std::__detail::_NFA<std::regex_traits<char> > >(std::remove_reference<std::__detail::_NFA<std::regex_traits<char> > >::type&)
  0.00      0.04     0.00       11     0.00     0.00  bool __gnu_cxx::operator!=<std::__detail::_State<std::regex_traits<char> >*, std::vector<std::__detail::_State<std::regex_traits<char> >, std::allocator<std::__detail::_State<std::regex_traits<char> > > > >(__gnu_cxx::__normal_iterator<std::__detail::_State<std::regex_traits<char> >*, std::vector<std::__detail::_State<std::regex_traits<char> >, std::allocator<std::__detail::_State<std::regex_traits<char> > > > > const&, __gnu_cxx::__normal_iterator<std::__detail::_State<std::regex_traits<char> >*, std::vector<std::__detail::_State<std::regex_traits<char> >, std::allocator<std::__detail::_State<std::regex_traits<char> > > > > const&)
  0.00      0.04     0.00       11     0.00     0.00  std::deque<std::__detail::_StateSeq<std::regex_traits<char> >, std::allocator<std::__detail::_StateSeq<std::regex_traits<char> > > >::end()
  0.00      0.04     0.00       10     0.00     0.00  _ZN9__gnu_cxx13new_allocatorINSt8__detail6_StateISt12regex_traitsIcEEEE9constructIS5_IS5_EEEvPT_DpOT0_
  0.00      0.04     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::string>::__normal_iterator()
  0.00      0.04     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<std::__detail::_State<std::regex_traits<char> >*, std::vector<std::__detail::_State<std::regex_traits<char> >, std::allocator<std::__detail::_State<std::regex_traits<char> > > > >::operator++()
  0.00      0.04     0.00       10     0.00     0.00  bool __gnu_cxx::operator!=<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> >*, std::vector<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> >, std::allocator<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> > > > >(__gnu_cxx::__normal_iterator<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> >*, std::vector<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> >, std::allocator<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> > > > > const&, __gnu_cxx::__normal_iterator<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> >*, std::vector<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> >, std::allocator<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> > > > > const&)
  0.00      0.04     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<std::__detail::_State<std::regex_traits<char> >*, std::vector<std::__detail::_State<std::regex_traits<char> >, std::allocator<std::__detail::_State<std::regex_traits<char> > > > >::operator*() const
  0.00      0.04     0.00       10     0.00     0.00  std::_Vector_base<std::__detail::_State<std::regex_traits<char> >, std::allocator<std::__detail::_State<std::regex_traits<char> > > >::_M_get_Tp_allocator() const
